Image Name,Latitude,Longitude,Date,Time,Image URL,Scoring completed,Score,Score,Score,Score,Score,Score,Cleanliness,Cleanliness,Cleanliness,Cleanliness,Sidewalk,Sidewalk,Sidewalk,Sidewalk,Sidewalk,Sidewalk,Roads,Roads,Roads,Roads,Roads,Roads,Roads,Roads,Roads,Encroachment,Encroachment,Traffic Congestion,Air Pollution,Air Pollution,Traffic Calming,Traffic Calming,Traffic Calming,Taxi/Auto Stands,Public Washrooms
data,data,data,data,data,data,data,Overall Score,Cleanliness score,Sidewalk score,Roads score,Encroachment score,Traffic Calming ,General Cleanliness,Littering,Dustbins/Dumpsters,Drain,Maintenance Quality,Street Furniture and Amenities,Cleanliness and Hygiene,Effective Use vs. Occupation,Markets (Walkability),Wrong Parking,Surface Quality,Cycling Infrastructure,Median/Divider Cleanliness,Blacktop Quality,Lane Markings,Speed Bumps,Right-of-Way Rules,Lane Discpline,Wrong Parking,General  Encroachment,Encroachment by Whom,Traffic Movement,Vehicle Exhaust,Construction,Speed Bumps/Speed Humps,Chicanes,Raised Crosswalks,Queue Discipline,Toilet/Urination
IMG_20231108_130848.jpg,25.458484,78.580896,2023:11:08,13:08:50,Open Image,Yes,1,2,0,1,1,NA,1,2,#N/A,#N/A,2,#N/A,2,0,0,#N/A,3,#N/A,#N/A,2,0,#N/A,0,0,0,0,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A
IMG_20231108_130852.jpg,25.458452,78.580708,2023:11:08,13:08:54,Open Image,Yes,NA,NA,NA,NA,NA,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IMG_20231108_130858.jpg,25.458452,78.580708,2023:11:08,13:08:59,Open Image,Yes,NA,NA,NA,NA,NA,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IMG_20231108_133415.jpg,25.457487,78.581152,2023:11:08,13:34:16,Open Image,Yes,0,0,NA,NA,NA,NA,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
IMG_20231108_133540.jpg,25.457527,78.579271,2023:11:08,13:35:41,Open Image,Yes,2,0,NA,2,3,NA,0,0,0,0,2,#N/A,2,#N/A,#N/A,#N/A,3,#N/A,#N/A,2,1,#N/A,0,0,2,#N/A,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IMG_20231108_133614.jpg,25.457048,78.578736,2023:11:08,13:36:15,Open Image,Yes,1,0,NA,1,NA,NA,0,#N/A,0,#N/A,2,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
IMG_20231108_140651.jpg,25.459489,78.578457,2023:11:08,14:06:52,Open Image,Yes,2,0,2,1,2,NA,0,#N/A,0,#N/A,2,#N/A,#N/A,0,3,#N/A,3,#N/A,#N/A,2,0,#N/A,0,0,0,0,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3
IMG_20231108_140652.jpg,25.459489,78.578457,2023:11:08,14:06:53,Open Image,Yes,2,0,2,1,2,NA,0,#N/A,0,#N/A,2,#N/A,#N/A,0,3,#N/A,#N/A,#N/A,#N/A,2,0,#N/A,0,0,2,0,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3
IMG_20231109_135203.jpg,25.457255,78.582548,2023:11:09,13:52:04,Open Image,Yes,1,0,NA,1,NA,NA,0,#N/A,0,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
